Param,Prime,Step,Compile Time,Setup Time,Witness Time,Proof Time,Verify Time,Proof Size,Proving Key Size,Verification Key Size,Witness Size
256,151,100,51.408445242,29.584327382,11.844446670,27.745073616,.025409405,82323,1097251696,182153,103601968
65536,151,100,51.379983805,29.580401142,12.734473631,27.871456247,.026797991,82323,1097251696,182153,103601968
16,157,20,10.291057797,6.032491519,2.375846402,5.930200788,.013539097,17203,231847024,37833,20592208
256,157,20,9.888297887,6.028387017,2.370434257,5.900823094,.014810732,17203,231847024,37833,20592208
65536,157,20,9.812448797,6.048254653,2.360778847,5.840316468,.013827884,17203,231847024,37833,20592208
16,157,30,14.747856294,8.691621114,3.554744578,8.218936293,.014106904,25343,314781424,55873,30959008
256,157,30,14.815830544,8.651247899,3.644950795,8.105449147,.016158130,25343,314781424,55873,30959008
65536,157,30,14.792477598,8.673597119,3.538179705,8.191699680,.016103768,25343,314781424,55873,30959008
16,157,40,19.778053124,12.248104174,4.796305589,11.440670306,.015201754,33483,464872688,73913,41331808
256,157,40,19.785923854,12.174530959,4.739625442,11.415362677,.018293426,33483,464872688,73913,41331808
65536,157,40,19.890956718,12.118415063,4.792378258,11.370371351,.017150905,33483,464872688,73913,41331808
16,157,50,24.736982143,14.749107157,5.953777777,14.044976370,.016654763,41623,547864688,91953,51705808
256,157,50,25.022865431,14.931035767,6.051202152,13.776826354,.019721218,41623,547864688,91953,51705808
65536,157,50,24.887252001,14.881714918,5.967282568,13.995770470,.017991793,41623,547864688,91953,51705808
16,157,60,30.993433920,17.425244240,7.195514932,16.397311676,.016522052,49763,630856688,109993,62079808
256,157,60,30.098566960,17.383855489,7.213253634,16.035040128,.021160392,49763,630856688,109993,62079808
65536,157,60,30.045568167,17.373938212,7.168140648,16.270947764,.020432478,49763,630856688,109993,62079808
16,157,70,35.416704125,20.055827193,8.470952020,18.658214309,.019645665,57903,713885168,128033,72458368
256,157,70,35.708184908,20.313045227,8.617312955,18.505184042,.023298513,57903,713885168,128033,72458368
65536,157,70,35.216250784,20.101096209,8.432868558,18.277835424,.021901559,57903,713885168,128033,72458368
16,157,80,40.628815620,24.114318404,9.566834822,23.397110286,.017461847,66043,931152496,146073,82839568
256,157,80,40.241643179,23.956298962,9.656302855,22.983439616,.023109794,66043,931152496,146073,82839568
65536,157,80,40.306437215,24.202687781,9.753076523,22.863501421,.021806728,66043,931152496,146073,82839568
16,157,90,45.809984685,26.495179815,10.966043978,25.956862782,.019056074,74183,1014202096,164113,93220768
256,157,90,45.759330939,26.545728736,10.964891149,25.700518509,.025685546,74183,1014202096,164113,93220768
65536,157,90,45.427237122,26.454444186,10.819632855,25.651347855,.022762684,74183,1014202096,164113,93220768
16,157,100,51.120897978,29.395539518,12.123648435,28.139084698,.020158788,82323,1097251696,182153,103601968
256,157,100,51.016326073,29.489053179,12.072348399,28.201238879,.026018307,82323,1097251696,182153,103601968
65536,157,100,50.965349851,29.297032736,12.220698898,27.792475332,.024900344,82323,1097251696,182153,103601968
