Param,Prime,Step,Compile Time,Setup Time,Witness Time,Proof Time,Verify Time,Proof Size,Proving Key Size,Verification Key Size,Witness Size
65536,3581,100,52.065149861,29.876852286,11.794856970,27.839860105,.037598515,82323,1097251696,182153,103601968
65536,3583,100,52.065149861,29.876852286,11.769729039,27.873562733,.099137021,82323,1097251696,182153,103601968
65536,3593,100,52.065149861,29.876852286,11.686267003,27.814546217,.073887435,82323,1097251696,182153,103601968
65536,3607,100,52.065149861,29.876852286,11.706544877,27.905038397,.028950277,82323,1097251696,182153,103601968
65536,3613,100,52.065149861,29.876852286,11.599899575,27.758305523,.049019547,82323,1097251696,182153,103601968
65536,3617,100,52.065149861,29.876852286,12.099051668,27.907085438,.025850829,82323,1097251696,182153,103601968
65536,3623,100,52.065149861,29.876852286,11.763108495,28.275487228,.028003285,82323,1097251696,182153,103601968
65536,3631,100,52.065149861,29.876852286,11.816042097,27.820419083,.025858895,82323,1097251696,182153,103601968
65536,3637,100,52.065149861,29.876852286,11.827446418,27.922201940,.048249036,82323,1097251696,182153,103601968
65536,3643,100,52.065149861,29.876852286,11.641307090,27.984259404,.080129255,82323,1097251696,182153,103601968
65536,3659,100,52.065149861,29.876852286,11.682985530,27.913515562,.099201415,82323,1097251696,182153,103601968
65536,3671,100,52.065149861,29.876852286,11.879729861,27.845647408,.067214230,82323,1097251696,182153,103601968
65536,3673,100,52.065149861,29.876852286,11.717759819,27.947017219,.027627348,82323,1097251696,182153,103601968
65536,3677,100,52.065149861,29.876852286,11.847053572,27.854517804,.052581392,82323,1097251696,182153,103601968
65536,3691,100,52.065149861,29.876852286,11.915477193,28.550742438,.025742339,82323,1097251696,182153,103601968
65536,3697,100,52.065149861,29.876852286,11.634467697,27.974659458,.059533576,82323,1097251696,182153,103601968
65536,3701,100,52.065149861,29.876852286,11.694599201,27.948286678,.028280542,82323,1097251696,182153,103601968
65536,3709,100,52.065149861,29.876852286,11.848695946,28.614980011,.049616203,82323,1097251696,182153,103601968
65536,3719,100,52.065149861,29.876852286,12.064499765,28.215799500,.038120124,82323,1097251696,182153,103601968
16,3727,100,51.174159360,29.033368779,11.718192723,27.696999443,.023683124,82323,1097251696,182153,103601968
16,3733,100,51.174159360,29.033368779,11.628346609,27.636495309,.027804109,82323,1097251696,182153,103601968
16,3739,100,51.174159360,29.033368779,11.637421685,28.026688814,.027658998,82323,1097251696,182153,103601968
16,3761,100,51.174159360,29.033368779,11.633036006,27.902354220,.018501773,82323,1097251696,182153,103601968
16,3767,100,51.174159360,29.033368779,11.982036970,27.614654514,.024734771,82323,1097251696,182153,103601968
16,3769,100,51.174159360,29.033368779,11.682474408,28.159866757,.025864651,82323,1097251696,182153,103601968
16,3779,100,51.174159360,29.033368779,11.583527618,27.572941634,.025948974,82323,1097251696,182153,103601968
16,3793,100,51.174159360,29.033368779,11.775928092,27.499443109,.026853648,82323,1097251696,182153,103601968
16,3797,100,51.174159360,29.033368779,11.621887352,27.564701496,.028374875,82323,1097251696,182153,103601968
16,3803,100,51.174159360,29.033368779,11.608554386,27.549540717,.027226509,82323,1097251696,182153,103601968
16,3821,100,51.174159360,29.033368779,11.956040166,27.506892393,.026129724,82323,1097251696,182153,103601968
16,3823,100,51.174159360,29.033368779,11.739132023,27.584245478,.026896781,82323,1097251696,182153,103601968
16,3833,100,51.174159360,29.033368779,11.743391788,27.601178411,.026167939,82323,1097251696,182153,103601968
16,3847,100,51.174159360,29.033368779,11.723265247,27.577381146,.051771043,82323,1097251696,182153,103601968
16,3851,100,51.174159360,29.033368779,11.670896446,27.790430555,.036675951,82323,1097251696,182153,103601968
16,3853,100,51.174159360,29.033368779,11.755638319,27.496926991,.053050622,82323,1097251696,182153,103601968
16,3863,100,51.174159360,29.033368779,11.744510054,27.792583176,.021708557,82323,1097251696,182153,103601968
16,3877,100,51.174159360,29.033368779,11.706938839,27.502671533,.042339005,82323,1097251696,182153,103601968
16,3881,100,51.174159360,29.033368779,11.685583887,27.449473326,.026418494,82323,1097251696,182153,103601968
16,3889,100,51.174159360,29.033368779,11.651613689,27.647965475,.045384687,82323,1097251696,182153,103601968
256,3727,100,51.174159360,29.033368779,11.614570437,27.774250570,.023961192,82323,1097251696,182153,103601968
256,3733,100,51.174159360,29.033368779,11.579380906,27.579654943,.026304263,82323,1097251696,182153,103601968
256,3739,100,51.174159360,29.033368779,12.151205099,27.976381300,.030164854,82323,1097251696,182153,103601968
256,3761,100,51.174159360,29.033368779,11.948715435,39.315930113,.206433327,82323,1097251696,182153,103601968
256,3767,100,51.174159360,29.033368779,14.069776842,30.269514512,.177104875,82323,1097251696,182153,103601968
256,3769,100,51.174159360,29.033368779,12.171223096,33.194925319,.168001966,82323,1097251696,182153,103601968
256,3779,100,51.174159360,29.033368779,12.003347766,31.768773944,.161129417,82323,1097251696,182153,103601968
256,3793,100,51.174159360,29.033368779,12.061699290,27.988575087,.026738684,82323,1097251696,182153,103601968
256,3797,100,51.174159360,29.033368779,11.787280029,28.001417614,.027712832,82323,1097251696,182153,103601968
256,3803,100,51.174159360,29.033368779,12.238787982,28.045320839,.027332536,82323,1097251696,182153,103601968
256,3821,100,51.174159360,29.033368779,11.673525113,28.154594160,.023799138,82323,1097251696,182153,103601968
256,3823,100,51.174159360,29.033368779,21.150006244,29.106057710,.109675991,82323,1097251696,182153,103601968
256,3833,100,51.174159360,29.033368779,11.794265595,27.972941362,.024405664,82323,1097251696,182153,103601968
256,3847,100,51.174159360,29.033368779,12.302094147,27.815801876,.025633142,82323,1097251696,182153,103601968
256,3851,100,51.174159360,29.033368779,11.746323453,27.755492720,.026089988,82323,1097251696,182153,103601968
256,3853,100,51.174159360,29.033368779,11.707525200,27.714050271,.027440895,82323,1097251696,182153,103601968
256,3863,100,51.174159360,29.033368779,11.782211246,27.758693021,.025034451,82323,1097251696,182153,103601968
